Province,Year,Goods-producing industries  [T002]7,Service-producing industries  [T003]8,Industrial production  [T010]9,Information and communication technology sector  [T013]10,Energy sector  [T016]11,"Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]",Utilities  [22],Construction  [23],Manufacturing  [31-33],Wholesale trade  [41],Retail trade  [44-45],Transportation and warehousing  [48-49],Information and cultural industries  [51],Finance and insurance  [52],Real estate and rental and leasing  [53],"Professional, scientific and technical services  [54]",Management of companies and enterprises  [55],"Administrative and support, waste management and remediation services  [56]",Educational services  [61],Health care and social assistance  [62],"Arts, entertainment and recreation  [71]",Accommodation and food services  [72],Other services (except public administration)  [81],Public administration  [91]
British Columbia,2012,24.38,75.62,13.95,4.22,5.5,2.59,4.33,2.22,8.13,7.11,4.03,5.68,5.32,3.44,5.52,17.6,5.76,0.65,2.56,5.51,7.32,0.95,2.79,2.33,6.16
British Columbia,2013,23.75,76.25,13.46,3.89,5.48,2.5,3.88,2.32,8.07,6.99,3.97,5.74,5.57,3.32,5.63,17.81,5.89,0.64,2.57,5.5,7.34,0.89,2.81,2.34,6.22
British Columbia,2014,24.08,75.92,13.72,3.82,5.69,2.43,4.21,2.26,8.23,6.95,3.96,5.78,5.72,3.28,5.73,17.78,6.03,0.59,2.61,5.18,7.25,0.89,2.81,2.34,5.96
British Columbia,2015,22.55,77.45,12.33,4.06,4.42,2.48,2.74,2.33,8.04,6.97,3.87,5.93,5.97,3.17,5.83,18.22,6.39,0.59,2.66,5.38,7.33,0.93,2.93,2.33,5.92
British Columbia,2016,22.4,77.6,12.36,4.14,4.72,2.38,2.74,2.39,7.96,6.94,4.06,6.05,6.09,3.19,5.81,18.32,6.49,0.56,2.6,5.29,7.18,0.94,3,2.29,5.72
British Columbia,2017,23.44,76.56,12.94,4.06,5.29,2.22,3.15,2.43,8.55,7.09,4.11,6.09,6.3,3.07,5.82,17.84,6.36,0.54,2.45,5.13,7.03,0.93,3.06,2.26,5.57
British Columbia,2018,23.84,76.16,13.17,3.99,5.37,2.36,3.29,2.49,8.56,7.14,4.05,5.95,6.57,2.91,5.87,17.38,6.32,0.53,2.4,5.2,7.05,0.93,3.22,2.26,5.52
Yukon,2010,26.12,73.88,14.7,2.6,2.06,0.25,12.28,1.48,11.41,0.71,1.45,4.86,2.95,2.8,2.65,13.1,2.99,0.37,1.33,5.47,7.99,0.52,3.04,1.72,22.64
Yukon,2011,26.21,73.79,14.58,2.83,2.05,0.18,11.93,1.6,11.74,0.76,1.58,4.75,3.21,3.02,3.21,13.02,2.85,0.33,1.32,5.23,7.51,0.46,3.17,1.71,22.42
Yukon,2012,23.95,76.05,14.08,2.71,2.14,0.21,11.08,1.76,9.97,0.93,1.98,5.02,3.27,2.81,2.95,13.56,3.4,0.32,1.29,5.25,7.92,0.48,3.18,1.67,22.95
Yukon,2013,23.65,76.35,14.75,2.85,1.46,0.16,12.25,1.52,9.04,0.68,1.7,5.21,2.85,3.19,2.87,13.58,3.23,0.31,1.25,5.16,8.41,0.45,3.19,1.51,23.47
Yukon,2014,24.29,75.71,14.97,2.83,1.52,0.17,12.42,1.62,9.5,0.59,1.33,5.28,2.84,3.18,2.86,13.67,3.22,0.28,1.29,5.07,8.41,0.43,3.02,1.45,23.38
